model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 06:25:04,605 : ADMM iteration: 42, Max iteration: 4, r-residual: 5.516350E-3, s-residual: 3.517152E-3, rho: 0.3125, mze: 0.1357927769422531, mae: 0.2400902658700943, time taken 27.191161100000045
2022-06-02 06:25:31,787 : ADMM iteration: 43, Max iteration: 4, r-residual: 6.118296E-3, s-residual: 3.491488E-3, rho: 0.3125, mze: 0.1358909010887146, mae: 0.2401883900165558, time taken 27.12012249999998
2022-06-02 06:25:59,026 : ADMM iteration: 44, Max iteration: 4, r-residual: 4.907220E-3, s-residual: 3.466379E-3, rho: 0.3125, mze: 0.13564559817314148, mae: 0.23994308710098267, time taken 27.178376399999934
2022-06-02 06:26:26,336 : ADMM iteration: 45, Max iteration: 4, r-residual: 3.824100E-3, s-residual: 3.441806E-3, rho: 0.3125, mze: 0.13564559817314148, mae: 0.23994308710098267, time taken 27.256525799999963
2022-06-02 06:26:54,134 : ADMM iteration: 46, Max iteration: 4, r-residual: 7.967688E-3, s-residual: 3.417759E-3, rho: 0.3125, mze: 0.13559654355049133, mae: 0.23989403247833252, time taken 27.755079000000023
2022-06-02 06:27:21,463 : ADMM iteration: 47, Max iteration: 4, r-residual: 1.618407E-2, s-residual: 3.394205E-3, rho: 0.3125, mze: 0.1353512555360794, mae: 0.2396487444639206, time taken 27.271836299999904
2022-06-02 06:27:49,183 : ADMM iteration: 48, Max iteration: 4, r-residual: 2.691568E-2, s-residual: 3.371151E-3, rho: 0.3125, mze: 0.13515502214431763, mae: 0.2394525110721588, time taken 27.66274509999994
2022-06-02 06:28:16,575 : ADMM iteration: 49, Max iteration: 4, r-residual: 8.245799E-3, s-residual: 3.348569E-3, rho: 0.3125, mze: 0.13466444611549377, mae: 0.23896193504333496, time taken 27.348470299999917
2022-06-02 06:28:44,498 : ADMM iteration: 50, Max iteration: 4, r-residual: 1.150332E-3, s-residual: 3.326449E-3, rho: 0.3125, mze: 0.1345663219690323, mae: 0.23886381089687347, time taken 27.855612500000007
2022-06-02 06:29:12,128 : ADMM iteration: 51, Max iteration: 4, r-residual: 6.459314E-3, s-residual: 3.304779E-3, rho: 0.3125, mze: 0.13427197933197021, mae: 0.2385694682598114, time taken 27.572737199999892
2022-06-02 06:29:39,328 : ADMM iteration: 52, Max iteration: 4, r-residual: 6.293688E-3, s-residual: 3.283545E-3, rho: 0.3125, mze: 0.13407574594020844, mae: 0.23837323486804962, time taken 27.116322599999876
2022-06-02 06:29:59,777 : ADMM iteration: 53, Max iteration: 3, r-residual: 4.905913E-3, s-residual: 2.762217E-3, rho: 0.3125, mze: 0.13412480056285858, mae: 0.23842228949069977, time taken 20.373301300000094
2022-06-02 06:30:20,378 : ADMM iteration: 54, Max iteration: 3, r-residual: 3.357895E-3, s-residual: 2.747546E-3, rho: 0.3125, mze: 0.1338304579257965, mae: 0.2381279468536377, time taken 20.561012299999902
2022-06-02 06:30:41,454 : ADMM iteration: 55, Max iteration: 3, r-residual: 2.619079E-3, s-residual: 2.733124E-3, rho: 0.3125, mze: 0.13373233377933502, mae: 0.2380298227071762, time taken 20.998010799999747
2022-06-02 06:31:02,824 : ADMM iteration: 56, Max iteration: 3, r-residual: 2.958451E-3, s-residual: 2.718947E-3, rho: 0.3125, mze: 0.13373233377933502, mae: 0.2380298227071762, time taken 21.340022800000042
2022-06-02 06:31:23,254 : ADMM iteration: 57, Max iteration: 3, r-residual: 2.589101E-3, s-residual: 2.705007E-3, rho: 0.3125, mze: 0.13358516991138458, mae: 0.23788265883922577, time taken 20.36077609999984
2022-06-02 06:31:43,782 : ADMM iteration: 58, Max iteration: 3, r-residual: 1.759535E-3, s-residual: 2.691305E-3, rho: 0.3125, mze: 0.1333889365196228, mae: 0.237686425447464, time taken 20.485363999999663
2022-06-02 06:32:04,090 : ADMM iteration: 59, Max iteration: 3, r-residual: 1.402040E-3, s-residual: 2.677827E-3, rho: 0.3125, mze: 0.13319270312786102, mae: 0.2374901920557022, time taken 20.24131720000014
2022-06-02 06:32:24,764 : ADMM iteration: 60, Max iteration: 3, r-residual: 1.253417E-3, s-residual: 2.664576E-3, rho: 0.3125, mze: 0.13309457898139954, mae: 0.23739206790924072, time taken 20.60881109999991
2022-06-02 06:32:45,751 : ADMM iteration: 61, Max iteration: 3, r-residual: 1.913585E-3, s-residual: 2.651545E-3, rho: 0.3125, mze: 0.13314364850521088, mae: 0.23744113743305206, time taken 20.92681730000004
2022-06-02 06:33:06,238 : ADMM iteration: 62, Max iteration: 3, r-residual: 2.470778E-3, s-residual: 2.638729E-3, rho: 0.3125, mze: 0.1330455243587494, mae: 0.23734301328659058, time taken 20.420553500000096
2022-06-02 06:33:27,218 : ADMM iteration: 63, Max iteration: 3, r-residual: 2.222406E-3, s-residual: 2.626126E-3, rho: 0.3125, mze: 0.1329474151134491, mae: 0.23724490404129028, time taken 20.898127899999963
2022-06-02 06:33:48,314 : ADMM iteration: 64, Max iteration: 3, r-residual: 1.502081E-3, s-residual: 2.613735E-3, rho: 0.3125, mze: 0.1328492909669876, mae: 0.2371467798948288, time taken 21.04579139999987
2022-06-02 06:34:08,629 : ADMM iteration: 65, Max iteration: 3, r-residual: 9.703571E-4, s-residual: 2.601544E-3, rho: 0.3125, mze: 0.13280023634433746, mae: 0.23709772527217865, time taken 20.24230430000034
2022-06-02 06:34:28,859 : ADMM iteration: 66, Max iteration: 3, r-residual: 1.415104E-3, s-residual: 2.589556E-3, rho: 0.3125, mze: 0.13280023634433746, mae: 0.23709772527217865, time taken 20.19441259999985
2022-06-02 06:34:49,077 : ADMM iteration: 67, Max iteration: 3, r-residual: 1.211043E-3, s-residual: 2.577764E-3, rho: 0.3125, mze: 0.13270211219787598, mae: 0.23699960112571716, time taken 20.14704920000031
2022-06-02 06:35:09,474 : ADMM iteration: 68, Max iteration: 3, r-residual: 1.262013E-3, s-residual: 2.566169E-3, rho: 0.3125, mze: 0.13265305757522583, mae: 0.23695054650306702, time taken 20.345848999999816
2022-06-02 06:35:29,954 : ADMM iteration: 69, Max iteration: 3, r-residual: 9.699445E-4, s-residual: 2.554763E-3, rho: 0.3125, mze: 0.13260400295257568, mae: 0.23690149188041687, time taken 20.40168390000008
2022-06-02 06:35:50,884 : ADMM iteration: 70, Max iteration: 3, r-residual: 9.077217E-4, s-residual: 2.543545E-3, rho: 0.3125, mze: 0.1325058937072754, mae: 0.23680338263511658, time taken 20.860638999999992
2022-06-02 06:36:11,646 : ADMM iteration: 71, Max iteration: 3, r-residual: 4.746567E-3, s-residual: 2.532509E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 20.710207799999807
2022-06-02 06:36:32,344 : ADMM iteration: 72, Max iteration: 3, r-residual: 1.506383E-2, s-residual: 2.521656E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 20.638896900000418
2022-06-02 06:36:52,820 : ADMM iteration: 73, Max iteration: 3, r-residual: 1.797531E-2, s-residual: 2.510978E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 20.41497560000016
2022-06-02 06:37:20,629 : ADMM iteration: 74, Max iteration: 4, r-residual: 1.418208E-2, s-residual: 2.954257E-3, rho: 0.3125, mze: 0.13245682418346405, mae: 0.23675431311130524, time taken 27.736155399999916
2022-06-02 06:37:48,255 : ADMM iteration: 75, Max iteration: 4, r-residual: 6.886260E-3, s-residual: 2.939889E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 27.58795710000004
2022-06-02 06:38:21,220 : ADMM iteration: 76, Max iteration: 4, r-residual: 7.287241E-3, s-residual: 2.925805E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 32.924272499999915
2022-06-02 06:38:49,631 : ADMM iteration: 77, Max iteration: 4, r-residual: 1.403674E-2, s-residual: 2.911990E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 28.326565899999878
2022-06-02 06:39:17,709 : ADMM iteration: 78, Max iteration: 4, r-residual: 2.444629E-2, s-residual: 2.898441E-3, rho: 0.3125, mze: 0.1324077695608139, mae: 0.2367052584886551, time taken 28.05036179999979
2022-06-02 06:39:45,773 : ADMM iteration: 79, Max iteration: 4, r-residual: 1.260947E-2, s-residual: 2.885152E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 28.002625599999647
2022-06-02 06:40:13,343 : ADMM iteration: 80, Max iteration: 4, r-residual: 6.445390E-3, s-residual: 2.872121E-3, rho: 0.3125, mze: 0.13235871493816376, mae: 0.23665620386600494, time taken 27.504785900000115
